TF	interaction	target_gene	regulation
ADNP	ii	ADNP	Inhibition
AES	aa	MYC	Activation
AFF1	aa	CDKN1B	Activation
AFF1	aa	HOXA7	Activation
AFF1	aa	IGF1	Activation
AFF1	aa	PROM1	Activation
AFF4	aa	CDKN1B	Activation
AFF4	aa	HEXIM1	Activation
AFF4	aa	HOXA7	Activation
AFF4	aa	HOXA9	Activation
AFF4	aa	MYC	Activation
AHR	aa	ABCC4	Activation
AHR	aa	AGR2	Activation
AHR	aa	ALDH1A3	Activation
AHR	aa	ALDH3A1	Activation
AHR	aa	ALS2CL	Activation
AHR	ii	APAF1	Inhibition
AHR	aa	BACH2	Activation
AHR	ii	CA2	Inhibition
AHR	aa	CCL1	Activation
AHR	aa	CCND1	Activation
AHR	ii	CCNE1	Inhibition
AHR	aa	CCNG2	Activation
AHR	aa	CD36	Activation
AHR	ii	CDK2	Inhibition
AHR	aa	CDKN1A	Activation
AHR	aa	CRYAB	Activation
AHR	ii	CTSD	Inhibition
AHR	aa	CXCL13	Activation
AHR	aa	CXCL8	Activation
AHR	aa	CYP19A1	Activation
AHR	aa	CYP1A1	Activation
AHR	aa	CYP1A2	Activation
AHR	aa	CYP1B1	Activation
AHR	ii	DAD1	Inhibition
AHR	ii	DHFR	Inhibition
AHR	aa	EREG	Activation
AHR	aa	FGF21	Activation
AHR	aa	FMO3	Activation
AHR	ii	FOS	Inhibition
AHR	aa	FOXP3	Activation
AHR	aa	FSCN1	Activation
AHR	aa	FSHR	Activation
AHR	ii	GREB1	Inhibition
AHR	aa	GRIN2A	Activation
AHR	aa	GSTP1	Activation
AHR	aa	HES1	Activation
AHR	ii	HSPB8	Inhibition
AHR	aa	IL10	Activation
AHR	aa	IL21	Activation
AHR	aa	IRF3	Activation
AHR	aa	JUP	Activation
AHR	aa	KIT	Activation
AHR	aa	KLK3	Activation
AHR	aa	MFSD2A	Activation
AHR	aa	MIR25	Activation
AHR	aa	MIR302A	Activation
AHR	aa	MT2A	Activation
AHR	aa	MYC	Activation
AHR	aa	NCF1	Activation
AHR	aa	NFE2L2	Activation
AHR	aa	NOS2	Activation
AHR	aa	NQO1	Activation
AHR	aa	NRIP1	Activation
AHR	ii	PER1	Inhibition
AHR	ii	POLA1	Inhibition
AHR	aa	POLK	Activation
AHR	ii	PPARA	Inhibition
AHR	aa	PTGS2	Activation
AHR	ii	PTK2	Inhibition
AHR	aa	RAF1	Activation
AHR	aa	RELA	Activation
AHR	aa	RHOA	Activation
AHR	ii	SAA3P	Inhibition
AHR	aa	SCD	Activation
AHR	aa	SERPINE1	Activation
AHR	ii	SFXN1	Inhibition
AHR	ii	SMOC2	Inhibition
AHR	aa	SNAI2	Activation
AHR	aa	SOS1	Activation
AHR	aa	STC2	Activation
AHR	ii	TBC1D1	Inhibition
AHR	ii	TFF1	Inhibition
AHR	aa	THBS1	Activation
AHR	aa	TIPARP	Activation
AHR	aa	TNFSF13B	Activation
AHR	ii	TSKU	Inhibition
AHR	aa	UBE2L3	Activation
AHR	aa	UGT1A1	Activation
AHR	aa	UGT1A3	Activation
AHR	aa	UGT1A4	Activation
AHR	aa	UGT1A7	Activation
AHR/ARNT complex	ii	CDH13	Inhibition
AHR/ARNT complex	aa	CYP1A1	Activation
AHR/ARNT complex	aa	CYP1A2	Activation
AHR/ARNT complex	aa	CYP1B1	Activation
AHR/ARNT complex	aa	CYP2A13	Activation
AHR/ARNT complex	aa	IL2	Activation
AHR/ARNT complex	aa	MFSD2A	Activation
AHR/ARNT complex	aa	MIR191	Activation
AHR/ARNT complex	aa	PDE4A	Activation
AHR/ARNT complex	aa	SNAI2	Activation
AHR/ARNT complex	aa	UGT1A1	Activation
AHR/ARNT complex	aa	UGT1A6	Activation
AIP	ii	GREB1	Inhibition
AIP	ii	TFF1	Inhibition
AIP	aa	TRH	Activation
ALX3	aa	INS	Activation
ALX3	aa	GCG	Activation
AML1/ETO fusion protein	ii	AAGAB	Inhibition
AML1/ETO fusion protein	aa	ABCB1	Activation
AML1/ETO fusion protein	aa	ADD3	Activation
AML1/ETO fusion protein	ii	AKAP11	Inhibition
AML1/ETO fusion protein	aa	ALOX5	Activation
AML1/ETO fusion protein	ii	ANKRD28	Inhibition
AML1/ETO fusion protein	ii	ANXA1	Inhibition
AML1/ETO fusion protein	aa	ARG2	Activation
AML1/ETO fusion protein	ii	ARHGEF6	Inhibition
AML1/ETO fusion protein	ii	BCL2	Inhibition
AML1/ETO fusion protein	aa	BMPR2	Activation
AML1/ETO fusion protein	ii	BPI	Inhibition
AML1/ETO fusion protein	ii	CCDC142	Inhibition
AML1/ETO fusion protein	ii	CCDC88C	Inhibition
AML1/ETO fusion protein	aa	CCND1	Activation
AML1/ETO fusion protein	aa	CCND2	Activation
AML1/ETO fusion protein	ii	CCNY	Inhibition
AML1/ETO fusion protein	aa	CD44	Activation
AML1/ETO fusion protein	aa	CD48	Activation
AML1/ETO fusion protein	ii	CD68	Inhibition
AML1/ETO fusion protein	aa	CDC25B	Activation
AML1/ETO fusion protein	aa	CDKN1A	Activation
AML1/ETO fusion protein	ii	CEBPA	Inhibition
AML1/ETO fusion protein	ii	CFP	Inhibition
AML1/ETO fusion protein	ii	CLTA	Inhibition
AML1/ETO fusion protein	aa	COL18A1	Activation
AML1/ETO fusion protein	aa	CPT1A	Activation
AML1/ETO fusion protein	ii	CSF2	Inhibition
AML1/ETO fusion protein	ii	CSF2RA	Inhibition
AML1/ETO fusion protein	ii	CTCF	Inhibition
AML1/ETO fusion protein	ii	CUEDC1	Inhibition
AML1/ETO fusion protein	ii	CYFIP2	Inhibition
AML1/ETO fusion protein	aa	DAPK1	Activation
